risk_proxy,quantile_level,risk_threshold,risk_value,a0,loc0,lfw0,unique_path_id,a_W1,a_W2,a_W3,loc_W1,loc_W2,loc_W3,lfw_W1,lfw_W2,lfw_W3,frequency,reportedProbabilityMin,reportedProbabilityMax,empirical_mass,path_probability,path_probability_reported_range,path_probability_recomputed_error,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps,grid_longest_consecutive_exceedance_windows,road_longest_consecutive_exceedance_windows
grid_cumulative_excess_mps,0.95,1122.92379752737,1259.3879481471,5,1,0,7060,6,6,4,4,2,2,1,2,2,1,4.617e-09,4.617e-09,6.66666666666667e-05,4.617e-09,0,8.27180612553028e-25,54.5851101382414,1259.3879481471,54.5851101382414,1043.09592418082,3,3
grid_cumulative_excess_mps,0.95,1122.92379752737,1487.26296865748,5,1,0,7082,6,6,6,-1,2,4,1,1,2,1,6.63022674418604e-08,6.63022674418604e-08,6.66666666666667e-05,6.63022674418604e-08,0,2.64697796016969e-23,55.2436058969182,1487.26296865748,55.2436058969182,1291.98471768658,3,3
grid_cumulative_excess_mps,0.95,1122.92379752737,1342.79880543368,5,1,0,7083,6,6,6,-1,2,4,1,2,1,1,1.84172965116279e-08,1.84172965116279e-08,6.66666666666667e-05,1.84172965116279e-08,0,3.30872245021211e-24,54.5851101382414,1342.79880543368,54.5851101382414,1107.83270461708,3,3
grid_cumulative_excess_mps,0.95,1122.92379752737,1957.57186310509,5,1,0,7090,6,6,6,2,4,5,1,2,3,1,3.7253034e-06,3.7253034e-06,6.66666666666667e-05,3.7253034e-06,0,4.2351647362715e-22,55.2436058969182,1957.57186310509,55.2436058969182,1886.91236936729,3,3
grid_cumulative_excess_mps,0.95,1122.92379752737,1662.5907821447,5,1,0,7092,6,6,6,3,5,7,1,2,3,1,8.030309625e-07,8.030309625e-07,6.66666666666667e-05,8.030309625e-07,0,0,55.2141131970405,1662.5907821447,55.2141131970405,1536.74074676071,3,3
road_max_wind_mps,0.95,46.1748242297112,54.1694020488195,5,1,0,2280,4,6,5,2,0,-1,2,2,1,1,7.54600000000001e-10,7.54600000000001e-10,6.66666666666667e-05,7.54600000000001e-10,0,4.13590306276514e-25,54.1694020488195,951.986131325298,54.1694020488195,752.142054185562,3,2
road_max_wind_mps,0.95,46.1748242297112,55.2436058969182,5,1,0,6987,5,6,6,3,3,1,1,0,2,1,3.1130892e-09,3.1130892e-09,6.66666666666667e-05,3.1130892e-09,0,8.27180612553028e-25,55.2436058969182,1210.12513132793,55.2436058969182,953.31976384841,3,3
road_max_wind_mps,0.95,46.1748242297112,55.4927759888396,5,1,0,7087,6,6,6,1,3,1,0,1,3,1,6.9944472e-09,6.9944472e-09,6.66666666666667e-05,6.9944472e-09,0,1.65436122510606e-24,55.4927759888396,1080.54235023958,55.4927759888396,821.413186153827,3,3
road_cumulative_excess_mps,0.95,849.711486582377,1223.77967685615,5,1,0,6976,5,6,6,0,-1,1,2,2,3,1,4.05559639534883e-08,4.05559639534883e-08,6.66666666666667e-05,4.05559639534883e-08,0,2.64697796016969e-23,55.4927759888396,1412.24073603996,55.4927759888396,1223.77967685615,3,3
road_cumulative_excess_mps,0.95,849.711486582377,953.31976384841,5,1,0,6987,5,6,6,3,3,1,1,0,2,1,3.1130892e-09,3.1130892e-09,6.66666666666667e-05,3.1130892e-09,0,8.27180612553028e-25,55.2436058969182,1210.12513132793,55.2436058969182,953.31976384841,3,3
road_cumulative_excess_mps,0.95,849.711486582377,1098.20857752164,5,1,0,6990,5,6,6,4,2,2,2,2,3,1,4.789368e-09,4.789368e-09,6.66666666666667e-05,4.789368e-09,0,8.27180612553028e-25,54.5851101382414,1235.87698936734,54.5851101382414,1098.20857752164,3,3
road_cumulative_excess_mps,0.95,849.711486582377,1584.29135812049,5,1,0,6993,5,6,6,4,5,5,1,2,3,1,1.88581365e-06,1.88581365e-06,6.66666666666667e-05,1.88581365e-06,0,6.35274710440725e-22,55.2141131970405,1707.23784853056,55.2141131970405,1584.29135812049,3,3
road_cumulative_excess_mps,0.95,849.711486582377,1043.09592418082,5,1,0,7060,6,6,4,4,2,2,1,2,2,1,4.617e-09,4.617e-09,6.66666666666667e-05,4.617e-09,0,8.27180612553028e-25,54.5851101382414,1259.3879481471,54.5851101382414,1043.09592418082,3,3
road_cumulative_excess_mps,0.95,849.711486582377,1291.98471768658,5,1,0,7082,6,6,6,-1,2,4,1,1,2,1,6.63022674418604e-08,6.63022674418604e-08,6.66666666666667e-05,6.63022674418604e-08,0,2.64697796016969e-23,55.2436058969182,1487.26296865748,55.2436058969182,1291.98471768658,3,3
road_cumulative_excess_mps,0.95,849.711486582377,1107.83270461708,5,1,0,7083,6,6,6,-1,2,4,1,2,1,1,1.84172965116279e-08,1.84172965116279e-08,6.66666666666667e-05,1.84172965116279e-08,0,3.30872245021211e-24,54.5851101382414,1342.79880543368,54.5851101382414,1107.83270461708,3,3
road_cumulative_excess_mps,0.95,849.711486582377,1886.91236936729,5,1,0,7090,6,6,6,2,4,5,1,2,3,1,3.7253034e-06,3.7253034e-06,6.66666666666667e-05,3.7253034e-06,0,4.2351647362715e-22,55.2436058969182,1957.57186310509,55.2436058969182,1886.91236936729,3,3
road_cumulative_excess_mps,0.95,849.711486582377,1536.74074676071,5,1,0,7092,6,6,6,3,5,7,1,2,3,1,8.030309625e-07,8.030309625e-07,6.66666666666667e-05,8.030309625e-07,0,0,55.2141131970405,1662.5907821447,55.2141131970405,1536.74074676071,3,3
grid_max_wind_mps,0.99,46.1939864988178,54.1694020488195,5,1,0,2280,4,6,5,2,0,-1,2,2,1,1,7.54600000000001e-10,7.54600000000001e-10,6.66666666666667e-05,7.54600000000001e-10,0,4.13590306276514e-25,54.1694020488195,951.986131325298,54.1694020488195,752.142054185562,3,2
grid_max_wind_mps,0.99,46.1939864988178,55.2436058969182,5,1,0,6987,5,6,6,3,3,1,1,0,2,1,3.1130892e-09,3.1130892e-09,6.66666666666667e-05,3.1130892e-09,0,8.27180612553028e-25,55.2436058969182,1210.12513132793,55.2436058969182,953.31976384841,3,3
grid_max_wind_mps,0.99,46.1939864988178,55.4927759888396,5,1,0,7087,6,6,6,1,3,1,0,1,3,1,6.9944472e-09,6.9944472e-09,6.66666666666667e-05,6.9944472e-09,0,1.65436122510606e-24,55.4927759888396,1080.54235023958,55.4927759888396,821.413186153827,3,3
grid_cumulative_excess_mps,0.99,1254.79024990068,1412.24073603996,5,1,0,6976,5,6,6,0,-1,1,2,2,3,1,4.05559639534883e-08,4.05559639534883e-08,6.66666666666667e-05,4.05559639534883e-08,0,2.64697796016969e-23,55.4927759888396,1412.24073603996,55.4927759888396,1223.77967685615,3,3
grid_cumulative_excess_mps,0.99,1254.79024990068,1707.23784853056,5,1,0,6993,5,6,6,4,5,5,1,2,3,1,1.88581365e-06,1.88581365e-06,6.66666666666667e-05,1.88581365e-06,0,6.35274710440725e-22,55.2141131970405,1707.23784853056,55.2141131970405,1584.29135812049,3,3
grid_cumulative_excess_mps,0.99,1254.79024990068,1259.3879481471,5,1,0,7060,6,6,4,4,2,2,1,2,2,1,4.617e-09,4.617e-09,6.66666666666667e-05,4.617e-09,0,8.27180612553028e-25,54.5851101382414,1259.3879481471,54.5851101382414,1043.09592418082,3,3
grid_cumulative_excess_mps,0.99,1254.79024990068,1487.26296865748,5,1,0,7082,6,6,6,-1,2,4,1,1,2,1,6.63022674418604e-08,6.63022674418604e-08,6.66666666666667e-05,6.63022674418604e-08,0,2.64697796016969e-23,55.2436058969182,1487.26296865748,55.2436058969182,1291.98471768658,3,3
grid_cumulative_excess_mps,0.99,1254.79024990068,1342.79880543368,5,1,0,7083,6,6,6,-1,2,4,1,2,1,1,1.84172965116279e-08,1.84172965116279e-08,6.66666666666667e-05,1.84172965116279e-08,0,3.30872245021211e-24,54.5851101382414,1342.79880543368,54.5851101382414,1107.83270461708,3,3
grid_cumulative_excess_mps,0.99,1254.79024990068,1957.57186310509,5,1,0,7090,6,6,6,2,4,5,1,2,3,1,3.7253034e-06,3.7253034e-06,6.66666666666667e-05,3.7253034e-06,0,4.2351647362715e-22,55.2436058969182,1957.57186310509,55.2436058969182,1886.91236936729,3,3
grid_cumulative_excess_mps,0.99,1254.79024990068,1662.5907821447,5,1,0,7092,6,6,6,3,5,7,1,2,3,1,8.030309625e-07,8.030309625e-07,6.66666666666667e-05,8.030309625e-07,0,0,55.2141131970405,1662.5907821447,55.2141131970405,1536.74074676071,3,3
