scope,initial_state_id,sample_id_r,path_id_r,sample_id_s,path_id_s,T_id,T_label,distance_metric,distance,low_positive_distance_q25,Q_r,Q_s,absolute_loss_difference,relative_loss_difference,loss_slope
STATE,11,6,6,13,13,1,ZERO,aggregate,0.00484522207267036,0.113950525823203,0,9819.16373455527,9819.16373455527,1,2026566.29299627
STATE,11,8,8,13,13,1,ZERO,aggregate,0.00484522207267036,0.113950525823203,0,9819.16373455527,9819.16373455527,1,2026566.29299627
STATE,11,11,11,13,13,1,ZERO,aggregate,0.00484522207267036,0.113950525823203,0,9819.16373455527,9819.16373455527,1,2026566.29299627
STATE,11,13,13,14,14,1,ZERO,aggregate,0.00484522207267036,0.113950525823203,9819.16373455527,0,9819.16373455527,1,2026566.29299627
STATE,11,2,2,13,13,1,ZERO,aggregate,0.00486922890688788,0.113950525823203,0,9819.16373455527,9819.16373455527,1,2016574.68201286
STATE,11,1,1,131,131,1,ZERO,aggregate,0.0113055181695642,0.113950525823203,0,22911.3820472956,22911.3820472956,1,2026566.29299627
STATE,11,4,4,131,131,1,ZERO,aggregate,0.0113055181695642,0.113950525823203,0,22911.3820472956,22911.3820472956,1,2026566.29299627
STATE,11,5,5,131,131,1,ZERO,aggregate,0.0113055181695642,0.113950525823203,0,22911.3820472956,22911.3820472956,1,2026566.29299627
STATE,11,6,6,131,131,1,ZERO,aggregate,0.0113055181695642,0.113950525823203,0,22911.3820472956,22911.3820472956,1,2026566.29299627
STATE,11,8,8,131,131,1,ZERO,aggregate,0.0113055181695642,0.113950525823203,0,22911.3820472956,22911.3820472956,1,2026566.29299627
STATE,11,11,11,131,131,1,ZERO,aggregate,0.0113055181695642,0.113950525823203,0,22911.3820472956,22911.3820472956,1,2026566.29299627
STATE,11,14,14,131,131,1,ZERO,aggregate,0.0113055181695642,0.113950525823203,0,22911.3820472956,22911.3820472956,1,2026566.29299627
STATE,11,2,2,131,131,1,ZERO,aggregate,0.0113295250037817,0.113950525823203,0,22911.3820472956,22911.3820472956,1,2022272.07580618
STATE,11,1,1,59,59,1,ZERO,aggregate,0.0226110363391284,0.113950525823203,0,45822.7640945913,45822.7640945913,1,2026566.29299627
STATE,11,4,4,59,59,1,ZERO,aggregate,0.0226110363391284,0.113950525823203,0,45822.7640945913,45822.7640945913,1,2026566.29299627
STATE,11,5,5,59,59,1,ZERO,aggregate,0.0226110363391284,0.113950525823203,0,45822.7640945913,45822.7640945913,1,2026566.29299627
STATE,11,6,6,59,59,1,ZERO,aggregate,0.0226110363391284,0.113950525823203,0,45822.7640945913,45822.7640945913,1,2026566.29299627
STATE,11,1,1,13,13,1,ZERO,period,0.00161507402422345,0.0381770217283878,0,9819.16373455527,9819.16373455527,1,6079698.87898881
STATE,11,4,4,13,13,1,ZERO,period,0.00161507402422345,0.0381770217283878,0,9819.16373455527,9819.16373455527,1,6079698.87898881
STATE,11,5,5,13,13,1,ZERO,period,0.00161507402422345,0.0381770217283878,0,9819.16373455527,9819.16373455527,1,6079698.87898881
STATE,11,6,6,13,13,1,ZERO,period,0.00161507402422345,0.0381770217283878,0,9819.16373455527,9819.16373455527,1,6079698.87898881
STATE,11,8,8,13,13,1,ZERO,period,0.00161507402422345,0.0381770217283878,0,9819.16373455527,9819.16373455527,1,6079698.87898881
STATE,11,11,11,13,13,1,ZERO,period,0.00161507402422345,0.0381770217283878,0,9819.16373455527,9819.16373455527,1,6079698.87898881
STATE,11,13,13,14,14,1,ZERO,period,0.00161507402422345,0.0381770217283878,9819.16373455527,0,9819.16373455527,1,6079698.87898881
STATE,11,2,2,13,13,1,ZERO,period,0.00163908085844097,0.0381770217283878,0,9819.16373455527,9819.16373455527,1,5990652.43425199
STATE,11,1,1,131,131,1,ZERO,period,0.00376850605652139,0.0381770217283878,0,22911.3820472956,22911.3820472956,1,6079698.8789888
STATE,11,4,4,131,131,1,ZERO,period,0.00376850605652139,0.0381770217283878,0,22911.3820472956,22911.3820472956,1,6079698.8789888
STATE,11,5,5,131,131,1,ZERO,period,0.00376850605652139,0.0381770217283878,0,22911.3820472956,22911.3820472956,1,6079698.8789888
STATE,11,6,6,131,131,1,ZERO,period,0.00376850605652139,0.0381770217283878,0,22911.3820472956,22911.3820472956,1,6079698.8789888
STATE,11,8,8,131,131,1,ZERO,period,0.00376850605652139,0.0381770217283878,0,22911.3820472956,22911.3820472956,1,6079698.8789888
STATE,11,11,11,131,131,1,ZERO,period,0.00376850605652139,0.0381770217283878,0,22911.3820472956,22911.3820472956,1,6079698.8789888
STATE,11,14,14,131,131,1,ZERO,period,0.00376850605652139,0.0381770217283878,0,22911.3820472956,22911.3820472956,1,6079698.8789888
STATE,11,2,2,131,131,1,ZERO,period,0.00379251289073891,0.0381770217283878,0,22911.3820472956,22911.3820472956,1,6041214.02019327
STATE,11,1,1,59,59,1,ZERO,period,0.00753701211304278,0.0381770217283878,0,45822.7640945913,45822.7640945913,1,6079698.87898881
STATE,11,4,4,59,59,1,ZERO,period,0.00753701211304278,0.0381770217283878,0,45822.7640945913,45822.7640945913,1,6079698.87898881
STATE,11,5,5,59,59,1,ZERO,period,0.00753701211304278,0.0381770217283878,0,45822.7640945913,45822.7640945913,1,6079698.87898881
STATE,11,6,6,59,59,1,ZERO,period,0.00753701211304278,0.0381770217283878,0,45822.7640945913,45822.7640945913,1,6079698.87898881
STATE,11,1,1,13,13,2,HALF_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,4,4,13,13,2,HALF_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,5,5,13,13,2,HALF_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,6,6,13,13,2,HALF_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,8,8,13,13,2,HALF_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,11,11,13,13,2,HALF_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,13,13,14,14,2,HALF_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,107.770100056493,0,107.770100056493,1,22242.5512061405
STATE,11,2,2,13,13,2,HALF_CAPACITY,aggregate,0.00486922890688788,0.113950525823203,0,107.770100056493,107.770100056493,1,22132.8884136139
STATE,11,1,1,131,131,2,HALF_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,4,4,131,131,2,HALF_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,5,5,131,131,2,HALF_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,6,6,131,131,2,HALF_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,8,8,131,131,2,HALF_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,11,11,131,131,2,HALF_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,14,14,131,131,2,HALF_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,2,2,131,131,2,HALF_CAPACITY,aggregate,0.0113295250037817,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1805.60006768409
STATE,11,1,1,59,59,2,HALF_CAPACITY,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,4,4,59,59,2,HALF_CAPACITY,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,5,5,59,59,2,HALF_CAPACITY,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,6,6,59,59,2,HALF_CAPACITY,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,1,1,13,13,2,HALF_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,4,4,13,13,2,HALF_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,5,5,13,13,2,HALF_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,6,6,13,13,2,HALF_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,8,8,13,13,2,HALF_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,11,11,13,13,2,HALF_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,13,13,14,14,2,HALF_CAPACITY,period,0.00161507402422345,0.0381770217283878,107.770100056493,0,107.770100056493,1,66727.6536184216
STATE,11,2,2,13,13,2,HALF_CAPACITY,period,0.00163908085844097,0.0381770217283878,0,107.770100056493,107.770100056493,1,65750.3255568485
STATE,11,1,1,131,131,2,HALF_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,4,4,131,131,2,HALF_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,5,5,131,131,2,HALF_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,6,6,131,131,2,HALF_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,8,8,131,131,2,HALF_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,11,11,131,131,2,HALF_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,14,14,131,131,2,HALF_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,2,2,131,131,2,HALF_CAPACITY,period,0.00379251289073891,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5393.94108945828
STATE,11,1,1,59,59,2,HALF_CAPACITY,period,0.00753701211304278,0.0381770217283878,0,59.4290198250594,59.4290198250594,1,7884.9574518021
STATE,11,4,4,59,59,2,HALF_CAPACITY,period,0.00753701211304278,0.0381770217283878,0,59.4290198250594,59.4290198250594,1,7884.9574518021
STATE,11,5,5,59,59,2,HALF_CAPACITY,period,0.00753701211304278,0.0381770217283878,0,59.4290198250594,59.4290198250594,1,7884.9574518021
STATE,11,6,6,59,59,2,HALF_CAPACITY,period,0.00753701211304278,0.0381770217283878,0,59.4290198250594,59.4290198250594,1,7884.9574518021
STATE,11,1,1,13,13,3,FULL_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,4,4,13,13,3,FULL_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,5,5,13,13,3,FULL_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,6,6,13,13,3,FULL_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,8,8,13,13,3,FULL_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,11,11,13,13,3,FULL_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,13,13,14,14,3,FULL_CAPACITY,aggregate,0.00484522207267036,0.113950525823203,107.770100056493,0,107.770100056493,1,22242.5512061405
STATE,11,2,2,13,13,3,FULL_CAPACITY,aggregate,0.00486922890688788,0.113950525823203,0,107.770100056493,107.770100056493,1,22132.8884136139
STATE,11,1,1,131,131,3,FULL_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,4,4,131,131,3,FULL_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,5,5,131,131,3,FULL_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,6,6,131,131,3,FULL_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,8,8,131,131,3,FULL_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,11,11,131,131,3,FULL_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,14,14,131,131,3,FULL_CAPACITY,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,2,2,131,131,3,FULL_CAPACITY,aggregate,0.0113295250037817,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1805.60006768409
STATE,11,1,1,59,59,3,FULL_CAPACITY,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,4,4,59,59,3,FULL_CAPACITY,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,5,5,59,59,3,FULL_CAPACITY,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,6,6,59,59,3,FULL_CAPACITY,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,1,1,13,13,3,FULL_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,4,4,13,13,3,FULL_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,5,5,13,13,3,FULL_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,6,6,13,13,3,FULL_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,8,8,13,13,3,FULL_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,11,11,13,13,3,FULL_CAPACITY,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
STATE,11,13,13,14,14,3,FULL_CAPACITY,period,0.00161507402422345,0.0381770217283878,107.770100056493,0,107.770100056493,1,66727.6536184216
STATE,11,2,2,13,13,3,FULL_CAPACITY,period,0.00163908085844097,0.0381770217283878,0,107.770100056493,107.770100056493,1,65750.3255568485
STATE,11,1,1,131,131,3,FULL_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,4,4,131,131,3,FULL_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,5,5,131,131,3,FULL_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,6,6,131,131,3,FULL_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,8,8,131,131,3,FULL_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,11,11,131,131,3,FULL_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,14,14,131,131,3,FULL_CAPACITY,period,0.00376850605652139,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5428.30257052572
STATE,11,2,2,131,131,3,FULL_CAPACITY,period,0.00379251289073891,0.0381770217283878,0,20.4565911136568,20.4565911136568,1,5393.94108945828
STATE,11,1,1,59,59,3,FULL_CAPACITY,period,0.00753701211304278,0.0381770217283878,0,59.4290198250594,59.4290198250594,1,7884.9574518021
STATE,11,4,4,59,59,3,FULL_CAPACITY,period,0.00753701211304278,0.0381770217283878,0,59.4290198250594,59.4290198250594,1,7884.9574518021
STATE,11,5,5,59,59,3,FULL_CAPACITY,period,0.00753701211304278,0.0381770217283878,0,59.4290198250594,59.4290198250594,1,7884.9574518021
STATE,11,6,6,59,59,3,FULL_CAPACITY,period,0.00753701211304278,0.0381770217283878,0,59.4290198250594,59.4290198250594,1,7884.9574518021
STATE,11,1,1,13,13,4,STEP03YF_PERIOD_R2000,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,4,4,13,13,4,STEP03YF_PERIOD_R2000,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,5,5,13,13,4,STEP03YF_PERIOD_R2000,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,6,6,13,13,4,STEP03YF_PERIOD_R2000,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,8,8,13,13,4,STEP03YF_PERIOD_R2000,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,11,11,13,13,4,STEP03YF_PERIOD_R2000,aggregate,0.00484522207267036,0.113950525823203,0,107.770100056493,107.770100056493,1,22242.5512061405
STATE,11,13,13,14,14,4,STEP03YF_PERIOD_R2000,aggregate,0.00484522207267036,0.113950525823203,107.770100056493,0,107.770100056493,1,22242.5512061405
STATE,11,2,2,13,13,4,STEP03YF_PERIOD_R2000,aggregate,0.00486922890688788,0.113950525823203,0,107.770100056493,107.770100056493,1,22132.8884136139
STATE,11,1,1,131,131,4,STEP03YF_PERIOD_R2000,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,4,4,131,131,4,STEP03YF_PERIOD_R2000,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,5,5,131,131,4,STEP03YF_PERIOD_R2000,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,6,6,131,131,4,STEP03YF_PERIOD_R2000,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,8,8,131,131,4,STEP03YF_PERIOD_R2000,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,11,11,131,131,4,STEP03YF_PERIOD_R2000,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,14,14,131,131,4,STEP03YF_PERIOD_R2000,aggregate,0.0113055181695642,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1809.43419017524
STATE,11,2,2,131,131,4,STEP03YF_PERIOD_R2000,aggregate,0.0113295250037817,0.113950525823203,0,20.4565911136568,20.4565911136568,1,1805.60006768409
STATE,11,1,1,59,59,4,STEP03YF_PERIOD_R2000,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,4,4,59,59,4,STEP03YF_PERIOD_R2000,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,5,5,59,59,4,STEP03YF_PERIOD_R2000,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,6,6,59,59,4,STEP03YF_PERIOD_R2000,aggregate,0.0226110363391284,0.113950525823203,0,59.4290198250594,59.4290198250594,1,2628.3191506007
STATE,11,1,1,13,13,4,STEP03YF_PERIOD_R2000,period,0.00161507402422345,0.0381770217283878,0,107.770100056493,107.770100056493,1,66727.6536184216
